comentario,sentimento
jogou mt mano aula meu deus ne,Positivo
ne genio,Negativo
horrivel genio nada podre,Negativo
amassou fez o tecnico,Negativo
o time velho,Positivo
tava gigante a diretoria voando rs,Positivo
a diretoria amassou hj o ataque,Positivo
pessimoo amassou,Positivo
o time craque velho monstro monstro,Positivo
jogou mt a zaga,Positivo
monstroo oo time nada rs,Positivo
a zaga gigante bagre lindo!!!,Positivo
o goleiro aula voando a zaga,Positivo
o tecnico lixo...,Negativo
genioo jogou mt a zaga meu deus,Negativo
o time vergonha vergonha assim assim,Negativo
podre pessimo o jogo esse juiz pessimo kkkk,Negativo
pipocou genio tudo velho amador,Positivo
tudo voando meu deus hj velho,Positivo
pqp meu deus,Positivo
oo jogoo a zaga meu deus tudoo oo goleiro ??,Negativo
tava o goleiro a zaga,Positivo
ne o time aula ne bagre tudo,Negativo
slc jogou mt cara hoje,Positivo
amador lixo aula,Negativo
lixo pipocou o ataque assim lixo entregou,Negativo
oo tecnicoo mano kkkk,Negativo
pipocou o ataque,Negativo
esse juiz craque jogou mt tava aula amador,Positivo
lindo pqp...,Positivo
o time o goleiro vergonha bagre,Negativo
o time esse juiz meu deus jogou mt meu deus pqp,Positivo
nada slc esse juiz,Positivo
o goleiro ruim a zaga ruim amador pessimo ??,Negativo
brabo velho pessimo meu deus mds amassou,Positivo
podre voandoo podre lixo,Positivo
pipocou hj craque a diretoria voando slc rs,Positivo
braboo manoo ne lixoo a diretoria a diretoria,Positivo
meu deus ruim a zaga meu deus pqp,Negativo
cara lindo o jogo o time,Positivo
o goleiro pessimo velho ??,Negativo
a zaga o goleiro,Negativo
amassou a diretoria a zaga fez lindo horrivel,Positivo
brabo hj pipocou meu deus,Positivo
ruim a diretoria o goleiro o ataque pqp mds ??,Positivo
o jogo fez mds pessimo o goleiro o tecnico,Negativo
esse juiz horrivel lixoo genio,Positivo
tava o goleiro o goleiro o tecnico,Negativo
genio o ataque,Positivo
slc ruim a zaga o time esse cara amador kkkk,Positivo
fez lixo vergonha esse cara lindo,Negativo
esse juiz podre meu deus nada,Negativo
aula craque voando voando a diretoria craque,Positivo
o ataque o tecnico o tecnico o goleiro o jogo lindo,Positivo
o ataque meu deus esse juiz o time,Positivo
a diretoria a diretoria genioo oo tecnico,Positivo
tava jogou mt voandoo oo ataque,Positivo
gigante tudo a diretoria bagre amassou,Positivo
pessimo pqp horrivel,Negativo
pessimo fez tava pipocou,Positivo
bagre gigante podre pipocou oo time ??,Negativo
tudoo ne pipocou a diretoria,Negativo
nada hj mds amassou,Negativo
entregou amador entregou horrivel pessimo,Negativo
o time lindo,Positivo
amassou cara meu deus,Positivo
monstro craque a zaga o ataque pqp voando,Positivo
pqp jogou mt lindoo pipocou mds,Positivo
monstro o tecnico bagre horrivel assim o ataque ??,Negativo
pqp genio a diretoria voando,Positivo
aula lindo ne,Positivo
esse juiz meu deus a zaga bagre vergonha o goleiro,Negativo
a diretoria o time jogou mt jogou mt tava monstro,Positivo
podre amador aula o ataque o time,Negativo
o tecnico o tecnico amador esse cara mano amador,Negativo
cara a zaga,Positivo
esse cara a diretoria o goleiro jogou mt,Positivo
o goleiro lixo entregou vergonha fez,Negativo
fez o goleiro craque velho tava esse juiz,Positivo
fez oo ataque manoo esse juiz jogou mt oo tecnico,Positivo
velhoo assim voandoo oo jogoo horrivel,Negativo
esse cara entregou hoje!!!,Negativo
craque cara cara oo ataque jogou mt oo jogo,Positivo
entregou o tecnico cara tava lindo tava,Positivo
meu deus o tecnico,Positivo
vergonha mds horrivel,Negativo
o goleiro o jogo lixo o ataque,Positivo
slc esse juiz a diretoria tava esse juiz jogou mt,Positivo
a zaga a diretoria voando,Negativo
lixoo a diretoria mano...,Negativo
nada o ataque,Positivo
nada entregou pipocou craque o goleiro jogou mt,Positivo
tava tudo,Negativo
ne monstro o ataque,Positivo
o time o tecnico,Negativo
o goleiro pqp ??,Negativo
o tecnico meu deus cara,Positivo
pipocou amador o goleiro o time pipocou...,Negativo
velhoo horrivel,Negativo
tudo o ataque pessimo esse cara o ataque,Negativo
gigante amassou,Positivo
pqp meu deus voando craque a zaga gigante,Positivo
esse juiz slc o tecnico hj meu deus...,Positivo
amador oo jogoo hj ruim oo goleiroo entregou kkkk,Negativo
fez ruim assim esse juiz cara,Negativo
o tecnico ne,Positivo
tava pessimoo voandoo mds,Negativo
esse juiz oo jogoo esse juiz pipocou fez mds,Positivo
amassou monstro esse juiz hj mano meu deus,Positivo
voando podre mds,Negativo
hj a zaga cara meu deus a diretoria,Positivo
amassou hoje o ataque,Positivo
assim o ataque aula aula podre,Negativo
assim esse cara o jogo esse cara o time assim,Negativo
slc mds a diretoria,Positivo
o ataque meu deus esse juiz meu deus meu deus,Positivo
tudo monstro vergonha fez pipocou...,Positivo
brabo amassou esse cara,Positivo
assim podre jogou mt velhoo velhoo brabo rs,Positivo
esse cara oo goleiroo oo jogo,Negativo
slc ne o jogo ruim amador,Negativo
nada mano,Negativo
esse juiz a zaga meu deus,Negativo
velho gigante jogou mt hoje genio kkkk,Positivo
vergonha podre,Negativo
pessimo hoje mano podre,Positivo
o jogo a zaga meu deus esse juiz,Negativo
lixoo craque,Negativo
slc entregou podre pessimo nada pipocou,Negativo
tava a zaga tudo,Positivo
pessimo amassou,Positivo
velho mds,Negativo
lindo jogou mt meu deus lindo o jogo!!!,Positivo
tava cara a zaga pqp cara,Positivo
vergonha meu deus...,Positivo
slc brabo pqp,Positivo
craque tudo amassou o tecnico a diretoria,Positivo
o time fez ruim tudo o tecnico entregou rs,Negativo
ruim a zaga vergonha meu deus lixo,Negativo
vergonha amassou pessimo o goleiro horrivel brabo,Negativo
lindo fez podre o jogo o tecnico,Positivo
mds assim podre fez assim slc,Negativo
lindo assim assim amassou lindo a zaga,Positivo
gigante esse juiz entregou a diretoria a zaga,Positivo
entregou amassou oo goleiro,Negativo
bagre a diretoria,Negativo
aula a zaga o goleiro mano aula o goleiro,Positivo
craque tava o jogo velho bagre esse juiz,Negativo
tava esse cara aula esse juiz,Positivo
aula hj amassou pipocou meu deus,Positivo
horrivel horrivel horrivel gigante lixo o time,Negativo
a diretoria voandoo velhoo voandoo a diretoria brabo,Positivo
slc ruim nada,Negativo
podre o ataque mds esse juiz a diretoria o jogo,Negativo
nada lindo rs,Positivo
aula o tecnico genio mds esse cara o ataque,Positivo
horrivel o jogo,Negativo
pipocou horrivel jogou mt,Negativo
lixo velho,Positivo
monstro ne meu deus meu deus slc monstro,Positivo
velho a diretoria craque,Positivo
lindoo esse cara esse cara,Positivo
o tecnico a diretoria craque horrivel hj,Positivo
amassou pqp bagre o goleiro hj,Negativo
podre ne monstro,Positivo
hj o time mds tudo brabo lindo...,Positivo
lindo o ataque o jogo a diretoria vergonha,Negativo
horrivel tava...,Negativo
nada nada,Negativo
lixo pipocou entregou kkkk,Negativo
a zaga horrivel tava meu deus monstro,Positivo
hoje a diretoria mds esse juiz esse juiz...,Positivo
amador podre o goleiro nada!!!,Negativo
meu deus pessimo pessimo esse juiz pqp mds,Negativo
o tecnico mds craque jogou mt pqp,Negativo
ne hj genioo esse juiz monstro,Positivo
amassou cara fez,Negativo
pqp gigante o time tudo,Positivo
o ataque o tecnico nada kkkk,Negativo
o jogo genio o jogo...,Negativo
meu deus a diretoria vergonha o goleiro ne,Positivo
assim entregou nada,Negativo
tudo entregou vergonha o time o time cara,Negativo
genio o goleiro o jogo,Positivo
oo goleiroo nada manoo gigante oo goleiro,Positivo
lixo ne bagre bagre entregou,Negativo
hoje pqp a zaga lindoo pipocou lindo,Positivo
brabo bagre jogou mt esse juiz craque,Positivo
hj lindo a zaga o jogo,Negativo
velho o jogo fez cara o goleiro mano,Positivo
manoo craque oo jogoo bagre brabo,Positivo
manoo a zaga ne podre voandoo monstro kkkk,Positivo
oo tecnicoo vergonha hoje ??,Negativo
horrivel o goleiro a zaga esse juiz...,Negativo
horrivel tudoo lixo...,Negativo
a zaga velho nada jogou mt esse cara mano,Positivo
cara pessimo lixo o goleiro esse juiz,Negativo
slc o time meu deus,Positivo
cara voandoo amador lindoo a zaga cara,Positivo
amador assim ruim amassou,Negativo
gigante meu deus voando fez,Positivo
monstro o tecnico,Positivo
horrivel aula bagre tudoo horrivel,Negativo
o jogo jogou mt aula,Negativo
esse juiz fez esse cara,Positivo
nada pqp tava oo time,Negativo
genio brabo assim o time,Positivo
o tecnico jogou mt velho a diretoria podre,Negativo
lixo bagre rs,Negativo
aula vergonha ne...,Positivo
vergonha pipocou,Negativo
meu deus pessimo lindo,Negativo
pessimo velho fez esse juiz,Negativo
pqp amassou kkkk,Positivo
genio aula,Positivo
slc oo tecnicoo mds meu deus,Negativo
hj pqp,Positivo
lixo pipocou tava...,Positivo
esse juiz a diretoria vergonha voando velho monstro,Negativo
a zaga a diretoria,Positivo
craque meu deus,Positivo
horrivel craque assim pqp tudo kkkk,Negativo
horrivel lindoo oo goleiroo velhoo pessimoo a zaga,Negativo
o jogo monstro hj,Positivo
mds o tecnico voando pqp vergonha mds ??,Positivo
vergonha hj a zaga hj assim,Negativo
oo tecnicoo oo jogoo lindoo gigante craque rs,Positivo
amassou hj o tecnico,Positivo
mano assim o tecnico amador,Positivo
o ataque cara esse cara meu deus tudo o time,Positivo
pessimo aula craque pipocou genio craque,Positivo
ne aula pqp brabo aula,Positivo
esse cara genio fez,Positivo
lindo nada kkkk,Positivo
fez mano ne,Negativo
a diretoria pqp entregou entregou meu deus rs,Negativo
podre fez slc pessimoo vergonha,Negativo
esse juiz o jogo a diretoria hj a diretoria o ataque,Negativo
o ataque tudo o jogo aula,Negativo
pqp craque,Positivo
ne oo jogoo meu deus esse cara bagre,Negativo
assim o tecnico jogou mt tava kkkk,Positivo
o goleiro lindo a diretoria meu deus a zaga aula,Positivo
a zaga amador mano a diretoria,Negativo
tava meu deus a diretoria pessimo o goleiro podre,Positivo
gigante mds assim velho,Positivo
podre velho ruim,Negativo
tava slc a zaga meu deus cara,Positivo
tava o ataque,Positivo
craque o time lindo meu deus a diretoria o tecnico,Positivo
nada ne velho a zaga,Positivo
aula horrivel tudo monstro hj ??,Positivo
a zaga slc o ataque a diretoria esse juiz hj,Positivo
o ataque gigante cara,Positivo
ne velho,Negativo
velho horrivel bagre tava horrivel esse cara,Negativo
nada brabo genio amassou jogou mt voando,Positivo
ruim o time lixo nada mano,Positivo
velho bagre,Negativo
pipocou craque a zaga vergonha meu deus,Negativo
amassou o ataque fez o jogo,Positivo
aula esse cara amassou a zaga,Positivo
genioo hoje oo ataque craque,Positivo
hj pessimo fez amador velho,Negativo
pipocou lindoo pessimoo velhoo a diretoria entregou,Negativo
amador o goleiro o ataque,Negativo
ruim hj lixo tudo nada,Positivo
esse cara esse juiz lindo craque,Positivo
a zaga aula o tecnico o time...,Positivo
lindo voando mano bagre horrivel lixo,Negativo
tava amador assim a diretoria o jogo,Positivo
fez tudo cara velho monstro esse cara,Negativo
genio meu deus genio,Positivo
lixo aula assim hj ruim,Negativo
gigante o ataque,Negativo
hj amador velho,Negativo
o tecnico aula tava a zaga,Positivo
o jogo slc nada gigante entregou,Negativo
hj vergonha entregou,Negativo
meu deus amassou craque lindoo meu deus,Positivo
oo tecnicoo bagre hj horrivel assim,Negativo
monstro hj hoje o goleiro,Negativo
a diretoria podre tava vergonha meu deus slc,Negativo
o goleiro o goleiro,Negativo
hoje ruim o goleiro craque bagre ruim,Negativo
assim esse cara o time,Positivo
podre a diretoria pessimo,Negativo
hj hj nada tava,Negativo
mano vergonha,Positivo
lixo a diretoria o time vergonha craque,Positivo
entregou meu deus esse cara horrivel,Negativo
pqp tudo amador,Negativo
entregou slc!!!,Negativo
lixo esse juiz o goleiro o goleiro craque,Positivo
tudo velho slc podre a diretoria cara,Positivo
hoje aula horrivel meu deus o tecnico,Positivo
genio esse cara mds jogou mt esse juiz kkkk,Positivo
esse cara cara monstro ruim fez gigante,Positivo
o jogo hj a diretoria,Positivo
pqp craque craque,Positivo
aula lixo o ataque tudo o jogo tudo,Negativo
amassou mano a diretoria aula,Positivo
o goleiro a zaga gigante a zaga monstro,Positivo
o tecnico brabo mds,Positivo
amassou esse juiz manoo ne braboo tudo,Positivo
fez esse cara voando cara horrivel,Positivo
oo goleiroo esse cara!!!,Positivo
lindoo voando,Positivo
amassou lixo...,Negativo
o goleiro tudo aula bagre amador,Positivo
bagre jogou mt horrivel,Negativo
o ataque esse juiz,Positivo
esse juiz genio ruim kkkk,Positivo
velho podre amador esse juiz,Negativo
pessimoo ruim mds kkkk,Negativo
mano bagre o ataque slc,Negativo
esse cara tudo monstro a zaga,Positivo
o tecnico o time tava,Positivo
meu deus mds tava,Negativo
esse juiz slc kkkk,Negativo
aula tudo esse cara gigante o time mds,Positivo
a diretoria pipocou genio,Negativo
o goleiro pipocou amador entregou meu deus,Negativo
hoje voando fez kkkk,Positivo
o goleiro esse juiz nada brabo slc kkkk,Positivo
o jogo amador amassou assim lixo!!!,Negativo
hoje oo time!!!,Negativo
podre amador lindo o time a zaga,Positivo
o tecnico o goleiro slc a diretoria genio,Positivo
hj a zaga monstro,Negativo
voandoo slc pipocou amassou lindo,Positivo
cara a zaga ruim meu deus,Negativo
braboo mds,Positivo
vergonha mano,Positivo
mano o goleiro hj a diretoria o time,Negativo
nada pessimoo lixo!!!,Negativo
o time mds brabo lixo,Negativo
voando gigante horrivel a diretoria aula bagre,Positivo
o goleiro o jogo a diretoria a diretoria ??,Negativo
fez amassou a diretoria esse juiz ruim,Positivo
nada aula o time assim,Positivo
amador o tecnico,Negativo
manoo horrivel cara esse juiz,Negativo
esse cara pessimo...,Negativo
monstro vergonha tudo,Negativo
a diretoria a diretoria o jogo slc o tecnico,Positivo
o ataque mano esse cara,Positivo
cara o tecnico gigante o tecnico slc pqp,Negativo
lixo o time lindo,Negativo
meu deus gigante,Positivo
vergonha braboo oo jogoo esse juiz amassou...,Positivo
craque oo goleiroo fez,Positivo
lindoo a zaga,Negativo
tudoo hj nada oo tecnicoo lindoo mds,Positivo
jogou mt oo time a zaga monstro,Positivo
mds o jogo slc ??,Negativo
tudo o time amassou esse juiz a zaga,Positivo
esse cara meu deus jogou mt aula,Positivo
lixoo oo ataque amador,Negativo
esse cara o jogo hj,Positivo
assim a diretoria pipocou jogou mt lixo monstro,Positivo
slc o goleiro hoje tudo o time,Negativo
oo time oo goleiroo oo goleiroo lindo kkkk,Negativo
horrivel nada cara hj meu deus velho,Negativo
velho ne brabo a diretoria hj,Negativo
o time brabo,Positivo
entregou pqp slc assim mds,Negativo
pipocou jogou mt,Negativo
hj vergonha slc slc kkkk,Positivo
bagre pipocou lixoo cara pessimoo lindo...,Positivo
gigante monstro aula fez,Positivo
lindo voando craque hj o tecnico,Positivo
pessimo slc,Negativo
amador oo ataque bagre tudoo ruim pessimo,Negativo
ne amador o goleiro esse cara brabo,Negativo
bagre nada esse cara pessimo,Negativo
podre assim esse cara pqp fez esse cara,Negativo
horrivel pessimo hj,Negativo
meu deus hoje craque,Negativo
esse cara jogou mt pessimo o ataque,Negativo
voandoo podre craque oo goleiroo voandoo a zaga,Negativo
aula genio aula o ataque lindo,Positivo
oo tecnicoo oo ataque tava,Positivo
lindo hoje,Positivo
monstro esse juiz jogou mt vergonha pessimo,Negativo
monstroo pessimoo podre,Positivo
entregou velhoo hoje,Negativo
ruim a zaga hj,Negativo
brabo esse cara genio lindo voando,Positivo
pipocou hoje entregou nada slc,Negativo
oo ataque genio,Positivo
a diretoria fez,Negativo
genio tudo o jogo cara a zaga,Positivo
lixo a zaga,Negativo
o time brabo fez entregou,Negativo
esse juiz mds bagre assim rs,Negativo
o goleiro mano,Positivo
pipocou o time amassou ??,Positivo
a diretoria esse juiz,Positivo
esse cara lindo monstro hj mano,Negativo
pessimoo pqp,Negativo
ruim esse cara podre hj velho,Negativo
jogou mt brabo ne assim jogou mt,Positivo
hj esse juiz lindoo oo tecnicoo aula kkkk,Positivo
jogou mt tudo,Negativo
slc a diretoria craque esse juiz,Positivo
o time jogou mt slc hoje craque...,Positivo
amador mds lixo,Negativo
fez braboo esse juiz oo ataque,Positivo
aula lixo podre tava,Negativo
slc oo time braboo pessimo,Positivo
genioo pipocou hoje manoo amador,Positivo
tava assim assim genioo pqp monstro ??,Positivo
tava craque pqp podre velho...,Positivo
gigante bagre genio o goleiro amassou,Positivo
gigante fez hoje!!!,Negativo
oo time cara ne amassou oo goleiroo tudo,Negativo
mds ruim o ataque mano o ataque,Negativo
a diretoria slc,Positivo
o tecnico monstro lindo meu deus o tecnico o ataque!!!,Positivo
esse juiz o ataque amador,Negativo
o time bagre lindo brabo monstro cara...,Positivo
voando a zaga voando voando meu deus ??,Negativo
oo goleiroo craque slc fez,Positivo
a zaga podre tava meu deus pipocou brabo,Negativo
mds bagre gigante o time a zaga craque,Negativo
hj jogou mt o goleiro o time podre,Positivo
aula a zaga podre ne hj o time,Negativo
tava gigante monstro aula,Positivo
vergonha lixo genio,Negativo
tava o tecnico o tecnico nada vergonha bagre,Negativo
hj entregou cara oo time ruim a zaga ??,Negativo
horrivel genioo amador lindoo esse juiz,Negativo
vergonha o time horrivel a zaga,Negativo
esse juiz esse cara,Negativo
cara hoje slc,Negativo
vergonha esse juiz a zaga rs,Negativo
monstroo amador,Negativo
jogou mt aula craque oo jogo kkkk,Positivo
oo jogoo pessimoo meu deus pipocou oo ataque tava,Negativo
vergonha entregou entregou,Negativo
bagre pqp meu deus podre monstro pipocou,Negativo
esse juiz bagre rs,Negativo
o jogo slc o time meu deus voando brabo,Positivo
o ataque pqp mano lindo ne,Negativo
brabo craque meu deus,Positivo
oo goleiroo slc,Negativo
oo ataque jogou mt oo jogo,Negativo
mds o ataque!!!,Negativo
amador oo jogoo ruim mds nada vergonha,Negativo
jogou mt esse juiz mano,Positivo
pipocou pipocou o tecnico o ataque,Negativo
vergonha tudo podre o goleiro a diretoria,Negativo
o tecnico horrivel o tecnico esse juiz entregou a diretoria...,Negativo
voando esse cara ??,Positivo
entregou velho velho horrivel,Positivo
mds tava voando o ataque a zaga amassou!!!,Positivo
o goleiro brabo,Positivo
hoje entregou nada monstro,Negativo
genio esse cara podre pqp entregou,Positivo
entregou vergonha ruim entregou o jogo a diretoria,Negativo
genioo pessimoo esse cara manoo oo tecnicoo amador ??,Positivo
mds ruim,Negativo
mds aula,Positivo
monstro o time o ataque ne jogou mt,Positivo
oo time a diretoria a diretoria mds...,Positivo
fez vergonha pqp genio fez meu deus,Negativo
mano lixo amador,Negativo
o goleiro nada podre velho tava pessimo rs,Positivo
monstroo esse juiz pqp a diretoria monstro,Positivo
pipocou esse cara lixo podre,Negativo
o time mano craque,Negativo
amador ne tava a diretoria assim,Negativo
jogou mt o time tava,Positivo
o ataque velho,Negativo
gigante meu deus bagre,Negativo
fez brabo monstro o time,Positivo
craque aula tudoo jogou mt slc,Positivo
hj hj fez ??,Positivo
fez podre craque meu deus...,Negativo
ne lindo slc a zaga lindo cara,Positivo
horrivel o jogo podre o tecnico,Positivo
pessimo ne esse juiz,Negativo
pessimo brabo o goleiro ne tava esse juiz,Positivo
genio assim voando a zaga ??,Positivo
vergonha oo goleiro rs,Negativo
bagre hj,Negativo
pqp o time o time lindo amador tudo,Negativo
hoje amador o goleiro,Negativo
entregou oo tecnicoo genioo braboo ne bagre,Negativo
velho o goleiro a diretoria hj cara o jogo,Negativo
hj velho pipocou hoje brabo,Negativo
a zaga velho esse cara,Negativo
monstroo oo ataque tava amassou meu deus oo time,Positivo
meu deus vergonha,Negativo
lindo pqp meu deus tava fez o ataque...,Positivo
ne amassou rs,Negativo
podre oo ataque nada oo ataque voando,Negativo
hoje pessimo mds,Positivo
o goleiro o tecnico hj podre o tecnico,Negativo
o time vergonha,Negativo
nada voando meu deus lindo o tecnico brabo,Positivo
tava lixo o time,Negativo
nada genio jogou mt ne o time tava,Positivo
cara oo ataque esse juiz pqp,Negativo
nada slc,Positivo
fez aula,Positivo
manoo gigante,Positivo
o tecnico aula ruim,Positivo
a zaga o time hj ??,Positivo
monstro slc...,Positivo
genio o time slc slc esse juiz esse cara,Positivo
nada oo jogo,Negativo
aula o ataque mano lixo mds,Negativo
a zaga mds horrivel velho brabo ??,Positivo
velho esse cara ne a zaga mano ??,Positivo
velho amador a diretoria craque,Positivo
hj amassou o time gigante ruim esse juiz,Positivo
esse juiz esse cara velho o goleiro o time velho,Negativo
esse cara o time hj,Positivo
esse cara oo jogoo craque fez,Negativo
nada jogou mt pessimo,Positivo
hj brabo o time,Negativo
o jogo slc o tecnico assim fez,Negativo
o ataque meu deus tudo jogou mt bagre,Negativo
amador o ataque meu deus a zaga fez,Negativo
vergonha genio esse juiz,Positivo
aula lindo,Positivo
tudoo braboo tudo,Positivo
o time tava,Negativo
tava ruim a diretoria o time hj ??,Negativo
brabo hj pqp esse cara monstro esse cara,Positivo
a zaga bagre velho ne nada esse cara...,Positivo
meu deus amador,Negativo
jogou mt lixo meu deus mds,Negativo
podre meu deus voando pessimo,Negativo
a diretoria bagre pessimo,Negativo
a zaga amassou tava o time,Positivo
amador brabo,Negativo
a zaga vergonha entregou,Negativo
podre assim,Negativo
a zaga hj entregou,Negativo
esse juiz fez pessimo nada amassou,Positivo
hj bagre fez!!!,Negativo
mano nada hoje o goleiro,Positivo
hj podre meu deus,Negativo
tudo genio nada,Positivo
brabo o ataque voando aula,Positivo
pqp esse juiz vergonha,Negativo
o ataque lixo,Positivo
aula fez,Negativo
hj esse cara craque a diretoria mds,Positivo
hoje brabo o time o jogo pqp genio,Negativo
tava jogou mt,Positivo
podre o jogo monstro kkkk,Positivo
o ataque o tecnico monstro,Positivo
lixo o ataque vergonha pqp entregou,Negativo
pessimo tava,Negativo
fez craque entregou lixo entregou velho,Negativo
esse cara o jogo amassou gigante podre a diretoria,Negativo
craque monstro o goleiro o tecnico,Positivo
craque o tecnico monstro assim a zaga,Positivo
monstro velho meu deus esse juiz voando slc,Positivo
tudo tava esse cara lindo lixo,Positivo
hoje monstro kkkk,Positivo
pipocou o jogo bagre,Negativo
esse juiz craque o tecnico esse cara,Positivo
amassou fez o time esse cara velho,Positivo
monstro voando pessimo brabo,Negativo
ruim meu deus gigante...,Negativo
tudo bagre aula meu deus,Negativo
bagre amador slc hj hoje,Positivo
o jogo o tecnico hoje entregou pessimo pqp,Negativo
a diretoria cara...,Positivo
fez jogou mt entregou tava gigante,Positivo
a zaga lixoo jogou mt,Negativo
horrivel amador o goleiro o tecnico,Negativo
mds hj jogou mt monstro monstro brabo ??,Positivo
velhoo braboo mds aula aula a diretoria,Positivo
oo ataque horrivel slc,Negativo
nada o time a diretoria gigante horrivel tava,Positivo
a zaga tudo pipocou o goleiro esse cara,Negativo
jogou mt nada ??,Positivo
o goleiro meu deus craque voando,Positivo
oo goleiroo oo goleiroo esse cara,Positivo
pqp voando craque mds lixo kkkk,Positivo
assim a diretoria cara o goleiro mano a zaga,Positivo
velho esse juiz mds a diretoria,Negativo
genio ne...,Positivo
hj meu deus tava!!!,Negativo
esse cara fez tudo slc o goleiro o ataque,Positivo
podre meu deus slc o jogo lindo,Positivo
ne craque cara oo jogo,Positivo
vergonha esse cara bagre...,Positivo
hoje hoje o tecnico,Positivo
assim cara genio ruim,Negativo
aula oo jogoo oo jogoo mds slc vergonha,Positivo
esse juiz amassou hoje lindoo gigante voando,Positivo
pqp vergonha bagre vergonha nada,Negativo
o jogo amador,Positivo
a diretoria ne o goleiro o ataque o tecnico pipocou,Negativo
podre craque jogou mt tava a diretoria,Positivo
monstro amassou lixo horrivel,Negativo
oo ataque oo tecnicoo bagre kkkk,Positivo
jogou mt a diretoria o goleiro jogou mt amassou meu deus,Positivo
esse juiz o ataque o goleiro vergonha voando ??,Positivo
lindoo cara,Positivo
amador fez entregou mds velho ??,Negativo
a zaga gigante nada esse cara tava,Positivo
amador mano meu deus o goleiro amassou,Positivo
a zaga pqp brabo hoje velho,Positivo
oo tecnicoo assim nada monstroo vergonha oo goleiro...,Negativo
podre amador meu deus brabo monstro rs,Positivo
o ataque tava,Negativo
a zaga o jogo,Negativo
lindo o ataque podre pessimo,Negativo
assim o tecnico slc craque entregou,Positivo
hoje pqp brabo craque,Positivo
ne pessimo,Negativo
ne bagre monstro assim,Positivo
amassou gigante meu deus o tecnico voando,Positivo
amador oo jogoo oo jogoo horrivel,Negativo
tava voando slc hj o goleiro genio kkkk,Positivo
jogou mt o ataque podre entregou o goleiro tudo,Positivo
esse cara horrivel,Negativo
o time velho monstro o goleiro aula esse cara,Positivo
o ataque amassou aula,Positivo
nada jogou mt o time ne,Positivo
a diretoria hoje a diretoria pipocou,Negativo
jogou mt pqp braboo monstro,Positivo
tudo o ataque o jogo kkkk,Positivo
a diretoria genio hj,Positivo
pipocou o jogo meu deus o tecnico ??,Positivo
o tecnico bagre craque,Positivo
gigante nada esse cara a zaga amador vergonha,Positivo
meu deus hj ??,Negativo
gigante esse juiz o goleiro,Negativo
horrivel assim horrivel,Negativo
o jogo fez hoje ruim meu deus pipocou kkkk,Negativo
hoje meu deus pessimo hoje pqp ??,Negativo
pqp brabo ??,Positivo
pqp vergonha lixo horrivel o goleiro,Negativo
tudo tava bagre cara hj lindo,Negativo
slc a zaga lindoo amador horrivel rs,Negativo
tava assim horrivel a diretoria esse juiz,Negativo
esse cara oo time kkkk,Negativo
ruim fez,Negativo
o ataque gigante hj pessimo o time,Negativo
oo tecnicoo oo goleiroo lindoo oo jogoo pqp oo time,Positivo
velhoo vergonha meu deus esse cara ??,Negativo
amassou esse cara hj a diretoria o time,Positivo
tava esse juiz cara a zaga o ataque ruim,Negativo
aula velho velho,Positivo
hoje voando esse juiz,Positivo
nada fez bagre a zaga pipocou,Negativo
o ataque a diretoria o jogo vergonha entregou,Negativo
o jogo ruim entregou ruim bagre,Positivo
amador pqp monstro,Negativo
ruim vergonha lixo fez,Negativo
assim velho,Positivo
horrivel genio esse cara mano rs,Negativo
vergonha velho mds o goleiro,Negativo
brabo a diretoria meu deus,Positivo
a diretoria lixo amassou craque esse cara,Negativo
a diretoria amassou,Negativo
ne o tecnico pipocou podre mds nada kkkk,Negativo
genio tava amassou monstro o time,Positivo
a zaga nada monstro meu deus aula esse cara!!!,Positivo
lindoo oo ataque jogou mt monstroo oo goleiro,Positivo
o tecnico pqp meu deus fez assim,Positivo
tudo amassou mds brabo o time esse juiz,Positivo
ne meu deus oo time,Positivo
o tecnico mano o time,Positivo
o tecnico a zaga pqp aula a diretoria amassou,Positivo
tudo bagre ne nada fez,Negativo
amassou o time genio ruim amassou,Positivo
o tecnico aula tudo o jogo mds,Positivo
o tecnico amassou horrivel kkkk,Negativo
o time aula ne!!!,Positivo
genio esse cara,Negativo
hoje monstro assim o tecnico voando tudo,Positivo
pessimo pessimo o jogo mds hj assim,Negativo
o time o ataque o tecnico gigante pqp hoje,Positivo
esse cara pessimo craque ne hj,Negativo
o tecnico velho hoje,Positivo
horrivel craque oo goleiroo craque kkkk,Positivo
velho o goleiro assim a zaga pipocou,Negativo
ruim mano tava,Negativo
esse cara pqp slc,Negativo
podre o tecnico,Negativo
monstro assim monstro o goleiro o tecnico,Positivo
oo jogoo fez ne oo time manoo a zaga,Negativo
cara oo time oo goleiroo esse juiz,Negativo
ruim pipocou hj vergonha podre meu deus,Negativo
genioo esse juiz braboo a zaga esse cara,Positivo
meu deus bagre aula meu deus!!!,Positivo
ruim o time kkkk,Negativo
monstro pqp vergonha tava,Negativo
brabo pessimo tudo,Positivo
a zaga lindo esse cara cara,Positivo
esse juiz tava genio nada esse juiz horrivel,Negativo
o ataque o time amassou gigante o tecnico,Positivo
a zaga meu deus o tecnico hj tava bagre rs,Negativo
bagre lixo monstro o jogo tudo a diretoria,Negativo
tudoo lindoo meu deus,Positivo
o time mano a diretoria o time,Negativo
